1    942833  0.6162809927079057  1647983  0.6518751883851134
89  aabbc  1  9.804716199221375e-07  0  1.9777964657568277e-07
90  aabbcc  0  3.268238733073792e-07  1  5.933389397270483e-07
91  aabbgabjwbbhqapgfmr  0  3.268238733073792e-07  1  5.933389397270483e-07
92  aabdb  0  3.268238733073792e-07  1  5.933389397270483e-07
93  aabec  0  3.268238733073792e-07  1  5.933389397270483e-07
94  aabecaabvkai  0  3.268238733073792e-07  1  5.933389397270483e-07
95  aabeiagkanqmbigaceqedeqh  0  3.268238733073792e-07  1  5.933389397270483e-07
96  aabeiah  0  3.268238733073792e-07  1  5.933389397270483e-07
97  aabeiahsarwmbeqaceqedeqh  0  3.268238733073792e-07  1  5.933389397270483e-07
98  aabl  0  3.268238733073792e-07  14  5.7356097506948e-06
99  aabo  0  3.268238733073792e-07  1  5.933389397270483e-07
100  aabq  0  3.268238733073792e-07  1  5.933389397270483e-07
101  aabr  6  4.248710352995929e-06  0  1.9777964657568277e-07
102  aabvahqabwbzaggabwbwacaangauadaaaaabadhcsu  0  3.268238733073792e-07  1  5.933389397270483e-07
103  aac  3  2.287767113151654e-06  7  2.966694698635241e-06
104  aaca  1  9.804716199221375e-07  0  1.9777964657568277e-07
105  aaccxbaydceovm  0  3.268238733073792e-07  1  5.933389397270483e-07
106  aacfbggcawqb  0  3.268238733073792e-07  1  5.933389397270483e-07
107  aachen  0  3.268238733073792e-07  4  1.7800168191811448e-06
108  aacsb  0  3.268238733073792e-07  2  9.888982328784137e-07
109  aactja  1  9.804716199221375e-07  0  1.9777964657568277e-07
110  aacute  0  3.268238733073792e-07  17  6.9222876301488965e-06
111  aad  1  9.804716199221375e-07  3  1.3844575260297793e-06
112  aadcpvf  0  3.268238733073792e-07  1  5.933389397270483e-07
113  aadfd  0  3.268238733073792e-07  1  5.933389397270483e-07
114  aadw  0  3.268238733073792e-07  1  5.933389397270483e-07
115  aae  2  1.6341193665368958e-06  3  1.3844575260297793e-06
116  aaeaahehmqmsusiyqweeebnacygricmwqlkhssrzwdezq  1  9.804716199221375e-07  0  1.9777964657568277e-07
117  aaeaawmdaaaaax  0  3.268238733073792e-07  1  5.933389397270483e-07
118  aaeagaaaaaecawicraeaow  0  3.268238733073792e-07  1  5.933389397270483e-07
119  aaec  1  9.804716199221375e-07  0  1.9777964657568277e-07
120  aaeepgsuyaaqibaegasaaa  0  3.268238733073792e-07  2  9.888982328784137e-07
121  aaejheiwomgdcbmqxmhqaaab  0  3.268238733073792e-07  1  5.933389397270483e-07
122  aaejheiwomgdcbmqxmhqaaabecnkhaiaocwlgdnq  0  3.268238733073792e-07  1  5.933389397270483e-07
123  aaeqgadqbwaweiaairaqmraf  0  3.268238733073792e-07  1  5.933389397270483e-07
124  aaeqgagwhfawer  0  3.268238733073792e-07  1  5.933389397270483e-07
125  aaeqgarqjmaweiaairaqmraf  0  3.268238733073792e-07  1  5.933389397270483e-07
126  aaeqgavgbiaweiaairaqmr  0  3.268238733073792e-07  1  5.933389397270483e-07
127  aaeqgavgbiaweiaairaqmraf  0  3.268238733073792e-07  1  5.933389397270483e-07
128  aaewsavcoaeqkf  0  3.268238733073792e-07  1  5.933389397270483e-07
129  aaf  5  3.595062606381171e-06  3  1.3844575260297793e-06
130  aafid  0  3.268238733073792e-07  1  5.933389397270483e-07
131  aafjkjomahtkyaomymbtfbywhntyw  1  9.804716199221375e-07  0  1.9777964657568277e-07
132  aag  0  3.268238733073792e-07  2  9.888982328784137e-07
133  aagajaayamqaaywnzce  0  3.268238733073792e-07  1  5.933389397270483e-07
134  aagbawebpxbt  0  3.268238733073792e-07  1  5.933389397270483e-07
135  aagjq  0  3.268238733073792e-07  1  5.933389397270483e-07
